TIME_STAMP,Throughput,4G_RSRP,4G_RSRQ,4G_MCS,4G_RB,4G_BLER,4G_MAC_Total_Throughput,5G_RSRP,5G_RSRQ,5G_BLER,5G_MCS,5G_MAC_Total_Throughput,5G_TBS,5G_RB,4G_TBS
1691504251.841441,0.5066,-94.5,-13.63,10.0,4.57,33.33,1.579,,,,,,,,225.0
1691504251.851441,1.0224,-94.5,-13.63,10.0,4.57,33.33,1.579,,,,,,,,225.0
1691504251.861441,3.1071,-93.69,-14.09,10.0,4.57,33.33,1.579,,,,,,,,225.0
1691504251.8714411,1.0242,-92.94,-13.47,10.0,4.57,33.33,1.579,,,,,,,,225.0
1691504251.8814409,4.2738,-92.94,-13.47,10.0,4.57,33.33,1.579,,,,,,,,225.0
1691504251.8914409,0.0,-92.94,-13.47,10.0,4.57,33.33,1.579,,,,,,,,249.0
1691504251.9014409,0.0,-92.44,-12.69,10.0,4.57,0.0,1.579,,,,,,,,293.0
1691504251.9114408,0.0,-92.69,-12.5,10.0,4.57,0.0,1.579,,,,,,,,269.0
1691504251.9214408,2.4449,-92.69,-12.5,10.0,4.57,0.0,1.579,,,,,,,,269.0
1691504251.9314408,0.0,-92.69,-12.5,10.0,4.57,0.0,1.579,,,,,,,,241.0
1691504251.9414408,4.0646,-92.66,-11.91,10.0,4.57,0.0,1.579,,,,,,,,241.0
1691504251.9514408,2.5592,-92.66,-11.91,10.0,4.57,0.0,1.579,,,,,,,,241.0
1691504251.9614408,2.0484,-92.84,-11.5,10.0,4.57,0.0,1.579,,,,,,,,241.0
1691504251.971441,3.0416,-92.84,-11.5,10.0,4.57,0.0,1.579,,,,,,,,241.0
1691504251.981441,0.0,-93.22,-12.25,10.0,4.57,0.0,1.579,,,,,,,,241.0
1691504251.991441,2.0629,-93.22,-12.25,10.0,4.57,0.0,1.579,,,,,,,,269.0
1691504252.001441,1.5231,-93.22,-12.25,10.0,4.57,0.0,1.579,,,,,,,,269.0
1691504252.011441,2.066,-92.78,-13.03,8.73,11.55,0.0,1.579,,,,,,,,217.0
1691504252.021441,1.0243,-92.41,-12.84,8.73,11.55,13.33,1.579,,,,,,,,453.0
1691504252.031441,1.013,-92.41,-12.84,10.58,12.53,13.33,1.579,,,,,,,,1143.0
1691504252.041441,0.0,-92.56,-12.56,10.58,12.53,10.53,1.579,,,,,,,,239.5
1691504252.051441,1.0866,-92.56,-12.56,10.58,12.53,10.53,1.579,,,,,,,,239.5
1691504252.061441,0.0,-92.72,-13.25,10.58,12.53,10.53,1.579,,,,,,,,217.0
1691504252.071441,2.0529,-92.72,-13.25,10.83,8.33,10.53,1.579,,,,,,,,573.0
1691504252.081441,2.5783,-91.19,-11.69,10.83,8.33,0.0,1.579,,,,,,,,517.0
1691504252.091441,1.0184,-90.88,-12.88,10.83,8.33,0.0,1.579,,,,,,,,309.0
1691504252.101441,1.0185,-90.56,-10.06,12.74,8.5,15.0,1.579,,,,,,,,405.0
1691504252.111441,1.0169,-90.56,-10.06,12.74,8.5,15.0,1.579,,,,,,,,293.0
1691504252.1214411,2.0868,-91.06,-9.75,10.89,8.47,15.0,1.579,,,,,,,,161.0
1691504252.1314409,1.0246,-91.06,-9.75,10.89,8.47,15.0,1.579,,,,,,,,193.0
1691504252.1414409,0.0,-91.5,-9.91,10.89,8.47,15.0,1.579,,,,,,,,549.0
1691504252.1514409,1.0242,-91.5,-9.91,10.89,8.47,15.0,1.579,,,,,,,,549.0
1691504252.1614408,4.6108,-90.94,-11.53,9.78,9.33,0.0,1.579,,,,,,,,285.0
1691504252.1714408,0.0,-90.5,-10.63,9.78,9.33,0.0,1.579,,,,,,,,453.0
1691504252.1814408,3.0742,-90.69,-10.56,9.78,9.33,0.0,1.579,,,,,,,,501.0
1691504252.1914408,1.0232,-90.5,-11.88,9.35,6.33,15.79,1.579,,,,,,,,157.0
1691504252.2014408,1.5352,-90.5,-11.88,9.35,6.33,15.79,1.579,,,,,,,,157.0
1691504252.2114408,1.024,-90.5,-11.88,9.35,6.33,15.79,1.579,,,,,,,,177.0
1691504252.221441,0.0,-90.66,-9.94,9.67,6.84,21.05,1.579,,,,,,,,217.0
1691504252.231441,2.0503,-91.13,-10.94,9.67,6.84,21.05,1.579,,,,,,,,269.0
1691504252.241441,1.0226,-91.13,-10.94,9.67,6.84,21.05,1.579,,,,,,,,373.0
1691504252.251441,1.0242,-91.91,-10.44,8.9,5.85,5.26,1.579,,,,,,,,285.0
1691504252.261441,1.0243,-92.69,-11.31,8.9,5.85,0.0,1.579,,,,,,,,241.0
1691504252.271441,4.6103,-93.06,-12.44,8.76,6.12,0.0,1.579,,,,,,,,217.0
1691504252.281441,2.0486,-93.06,-12.44,8.76,6.12,0.0,1.579,,,,,,,,269.0
1691504252.291441,2.0449,-92.88,-13.5,8.76,6.12,0.0,1.579,,,,,,,,141.0
1691504252.301441,0.0,-92.31,-12.88,11.53,7.95,0.0,1.579,,,,,,,,533.0
1691504252.311441,1.023,-92.31,-12.88,11.53,7.95,0.0,1.579,,,,,,,,61.0
1691504252.321441,2.5654,-92.56,-12.19,11.53,7.95,0.0,1.579,,,,,,,,573.0
1691504252.331441,0.0,-93.16,-11.25,11.59,6.11,5.26,1.579,,,,,,,,253.0
1691504252.341441,1.0236,-94.13,-14.0,11.59,6.11,21.05,1.579,,,,,,,,253.0
1691504252.351441,1.0218,-93.13,-13.38,11.59,6.11,21.05,1.579,,,,,,,,217.0
1691504252.361441,1.0268,-93.13,-13.38,11.59,6.11,21.05,1.579,,,,,,,,573.0
1691504252.3714411,1.024,-92.19,-10.44,9.78,8.11,21.05,1.579,,,,,,,,573.0
1691504252.3814409,0.0,-91.5,-11.19,9.78,8.11,21.05,1.579,,,,,,,,645.0
1691504252.3914409,0.0,-91.5,-11.19,9.78,8.11,5.56,1.579,,,,,,,,357.0
1691504252.4014409,3.5833,-91.63,-10.75,9.78,8.11,5.56,1.579,,,,,,,,357.0
1691504252.4114408,1.0246,-91.19,-10.5,10.59,5.84,5.56,1.579,,,,,,,,597.0
1691504252.4214408,2.048,-91.0,-9.63,10.59,5.84,5.26,1.579,,,,,,,,145.0
1691504252.4314408,4.0931,-91.44,-10.56,11.5,11.5,5.26,1.579,,,,,,,,47.0
1691504252.4414408,1.0241,-90.81,-10.25,11.5,11.5,5.26,1.579,,,,,,,,177.0
1691504252.4514408,0.0,-90.5,-9.88,9.41,9.0,26.32,1.579,,,,,,,,141.0
1691504252.4614408,0.0,-90.44,-10.5,9.41,9.0,26.32,1.579,,,,,,,,453.0
1691504252.471441,3.5833,-90.63,-9.44,9.41,9.0,5.88,1.579,,,,,,,,453.0
1691504252.481441,1.0206,-91.13,-9.81,7.39,6.5,5.88,1.579,,,,,,,,125.0
1691504252.491441,2.061,-91.13,-9.81,7.39,6.5,5.88,1.579,,,,,,,,73.0
1691504252.501441,0.0,-91.44,-10.69,7.39,6.5,5.56,1.579,,,,,,,,113.0
1691504252.511441,0.0,-91.81,-9.94,7.82,4.59,5.56,1.579,,,,,,,,161.0
1691504252.521441,1.0185,-91.81,-9.94,7.82,4.59,5.56,1.579,,,,,,,,533.0
1691504252.531441,1.0290000000000001,-92.41,-10.41,7.82,4.59,0.0,1.579,,,,,,,,533.0
1691504252.541441,0.0,-93.06,-11.0,7.82,4.59,0.0,1.579,,,,,,,,69.0
1691504252.551441,1.5386,-93.06,-11.0,10.94,6.63,0.0,1.579,,,,,,,,325.0
1691504252.561441,2.0488,-93.06,-11.0,10.94,6.63,0.0,1.579,,,,,,,,325.0
1691504252.571441,0.0,-93.06,-11.0,10.94,6.63,0.0,1.579,,,,,,,,903.0
1691504252.581441,3.0732,-93.13,-12.25,10.94,6.63,0.0,1.579,,,,,,,,217.0
1691504252.591441,3.5833,-92.7,-11.86,10.85,7.15,7.5,1.579,,,,,,,,429.0
1691504252.601441,3.0726,-92.7,-11.86,11.68,7.05,7.5,1.579,,,,,,,,373.0
1691504252.611441,3.0115,-93.06,-13.13,11.68,7.05,15.0,1.579,,,,,,,,125.0
1691504252.6214411,0.0,-91.31,-11.38,11.68,7.05,15.0,1.579,,,,,,,,125.0
1691504252.6314409,2.5631,-91.31,-11.38,11.68,7.05,15.0,1.579,,,,,,,,549.0
1691504252.6414409,1.0243,-91.38,-11.56,11.68,7.05,15.0,1.579,,,,,,,,149.0
1691504252.6514409,3.072,-91.63,-10.75,10.27,9.06,26.67,1.579,,,,,,,,149.0
1691504252.6614408,1.0217,-91.63,-10.75,10.27,9.06,26.67,1.579,,,,,,,,149.0
1691504252.6714408,3.5758,-91.81,-10.13,10.27,9.06,26.67,1.579,,,,,,,,49.0
1691504252.6814408,3.0601,-91.81,-10.13,10.27,9.06,26.67,1.579,,,,,,,,421.0
1691504252.6914408,1.0270000000000001,-91.88,-11.13,7.79,7.13,0.0,1.579,,,,,,,,485.0
1691504252.7014408,0.0,-91.88,-11.13,7.79,7.13,0.0,1.579,,,,,,,,453.0
1691504252.7114408,2.0237,-91.88,-9.63,7.79,7.13,0.0,1.579,,,,,,,,903.0
1691504252.721441,1.0391,-91.75,-12.06,10.32,7.32,0.0,1.579,,,,,,,,325.0
1691504252.731441,2.5605,-91.44,-12.56,10.32,7.32,5.26,1.579,,,,,,,,241.0
1691504252.741441,2.0484,-91.44,-12.56,10.85,9.29,5.26,1.579,,,,,,,,693.0
1691504252.751441,3.0692,-91.19,-10.94,10.85,9.29,11.11,1.579,,,,,,,,967.0
1691504252.761441,2.0498,-91.5,-11.38,10.85,9.29,11.11,1.579,,,,,,,,453.0
1691504252.771441,3.5836,-92.0,-11.25,11.16,13.21,11.11,1.579,,,,,,,,693.0
1691504252.781441,0.0,-91.63,-12.75,11.16,13.21,0.0,1.579,,,,,,,,693.0
1691504252.791441,2.0492,-91.31,-14.25,10.72,7.45,0.0,1.579,,,,,,,,249.0
1691504252.801441,4.6089,-90.63,-11.81,10.72,7.45,15.0,1.579,,,,,,,,389.0
1691504252.811441,0.9229999999999999,-90.19,-12.19,10.72,7.45,15.0,1.579,,,,,,,,193.0
1691504252.821441,2.2993,-90.13,-10.75,8.55,7.7,0.0,1.579,,,,,,,,141.0
1691504252.831441,2.0122,-90.13,-10.75,8.55,7.7,0.0,1.579,,,,,,,,269.0
1691504252.841441,1.0317,-89.94,-11.38,8.55,7.7,0.0,1.579,,,,,,,,269.0
1691504252.851441,2.5843,-89.94,-11.38,10.18,10.88,0.0,1.579,,,,,,,,349.0
1691504252.861441,0.0,-90.25,-10.44,10.18,10.88,0.0,1.579,,,,,,,,157.0
1691504252.8714411,2.0295,-90.25,-10.31,10.18,10.88,5.56,1.579,,,,,,,,241.0
1691504252.8814409,0.9663,-90.06,-11.84,8.89,7.89,5.56,1.579,,,,,,,,293.0
1691504252.8914409,2.1974,-89.69,-11.13,10.82,10.4,5.0,1.579,,,,,,,,903.0
1691504252.9014409,2.0233,-89.63,-11.63,10.82,10.4,5.0,1.579,,,,,,,,437.0
1691504252.9114408,1.557,-89.56,-10.5,9.26,7.37,15.79,1.579,,,,,,,,389.0
1691504252.9214408,2.0468,-89.56,-10.5,9.26,7.37,15.79,1.579,,,,,,,,269.0
1691504252.9314408,0.0,-89.56,-10.5,9.26,7.37,15.79,1.579,,,,,,,,269.0
1691504252.9414408,1.0323,-90.41,-9.44,12.22,8.22,0.0,1.579,,,,,,,,325.0
1691504252.9514408,1.0242,-90.41,-9.44,12.22,8.22,0.0,1.579,,,,,,,,437.0
1691504252.9614408,2.0494,-90.41,-9.44,12.22,8.22,0.0,1.579,,,,,,,,389.0
1691504252.971441,2.0445,-91.97,-10.81,12.22,8.22,0.0,1.579,,,,,,,,1143.0
1691504252.981441,3.5862,-91.81,-12.19,12.9,9.7,0.0,1.579,,,,,,,,225.0
1691504252.991441,2.0311,-91.56,-11.0,9.93,8.0,35.0,1.579,,,,,,,,193.0
1691504253.001441,3.0977,-91.56,-11.0,9.93,8.0,35.0,2.0669999999999997,,,,,,,,325.0
1691504253.011441,1.5354,-91.56,-11.0,9.93,8.0,35.0,2.0669999999999997,,,,,,,,105.0
1691504253.021441,0.0,-90.22,-12.19,10.28,5.2,10.0,2.0669999999999997,,,,,,,,357.0
1691504253.031441,3.103,-88.88,-10.75,10.28,5.2,10.0,2.0669999999999997,,,,,,,,201.0
1691504253.041441,1.0229,-88.88,-10.75,10.28,5.2,10.0,2.0669999999999997,,,,,,,,28.0
1691504253.051441,3.0516,-89.06,-9.0,10.47,6.0,0.0,2.0669999999999997,,,,,,,,249.0
1691504253.061441,1.5456,-89.38,-10.31,10.47,6.0,0.0,2.0669999999999997,,,,,,,,349.0
1691504253.071441,3.0410000000000004,-89.25,-11.38,13.0,5.4,0.0,2.0669999999999997,,,,,,,,177.0
1691504253.081441,4.0915,-89.25,-11.38,13.0,5.4,0.0,2.0669999999999997,,,,,,,,55.0
1691504253.091441,4.6112,-88.38,-11.0,13.0,5.4,0.0,2.0669999999999997,,,,,,,,807.0
1691504253.101441,0.0,-88.44,-10.19,13.0,5.4,20.0,2.0669999999999997,,,,,,,,293.0
1691504253.111441,2.0237,-88.88,-9.5,10.89,5.47,20.0,2.0669999999999997,,,,,,,,645.0
1691504253.1214411,3.5937,-89.44,-9.88,10.89,5.47,5.56,2.0669999999999997,,,,,,,,597.0
1691504253.1314409,2.0501,-89.75,-9.69,11.65,9.53,5.56,2.0669999999999997,,,,,,,,97.0
1691504253.1414409,1.0261,-89.69,-11.5,11.65,9.53,26.32,2.0669999999999997,,,,,,,,437.0
1691504253.1514409,3.08,-89.38,-12.44,9.84,11.0,26.32,2.0669999999999997,,,,,,,,357.0
1691504253.1614408,2.0221,-89.38,-12.44,9.84,11.0,26.32,2.0669999999999997,,,,,,,,469.0
1691504253.1714408,3.6579,-89.44,-11.75,9.84,11.0,5.0,2.0669999999999997,,,,,,,,325.0
1691504253.1814408,1.0238,-89.38,-11.13,9.84,11.0,5.0,2.0669999999999997,,,,,,,,775.0
1691504253.1914408,2.0482,-89.38,-11.13,12.06,11.22,5.0,2.0669999999999997,,,,,,,,325.0
1691504253.2014408,3.5833,-89.44,-12.38,12.06,11.22,16.67,2.0669999999999997,,,,,,,,47.0
1691504253.2114408,2.0474,-89.63,-9.88,12.06,11.22,16.67,2.0669999999999997,,,,,,,,193.0
1691504253.221441,1.0245,-90.69,-10.41,7.25,8.61,16.67,2.0669999999999997,,,,,,,,533.0
1691504253.231441,5.6331,-91.25,-13.06,7.25,8.61,16.67,2.0669999999999997,,,,,,,,485.0
1691504253.241441,4.0889999999999995,-91.25,-13.06,7.25,8.61,16.67,2.0669999999999997,,,,,,,,389.0
1691504253.251441,3.0726,-90.88,-10.75,12.89,13.74,0.0,2.0669999999999997,,,,,,,,1620.0
1691504253.261441,0.0,-91.19,-11.63,12.89,13.74,0.0,2.0669999999999997,,,,,,,,201.0
1691504253.271441,2.5597,-91.0,-11.56,9.47,9.58,0.0,2.0669999999999997,,,,,,,,149.0
1691504253.281441,2.049,-90.56,-12.94,9.47,9.58,10.53,2.0669999999999997,,,,,,,,193.0
1691504253.291441,2.046,-89.81,-11.81,10.16,8.7,10.0,2.0669999999999997,,,,,,,,325.0
1691504253.301441,2.0488,-89.75,-10.94,10.16,8.7,10.0,2.0669999999999997,,,,,,,,93.0
1691504253.311441,2.5605,-89.75,-10.94,9.5,6.75,10.0,2.0669999999999997,,,,,,,,597.0
1691504253.321441,2.0484,-89.94,-10.69,9.5,6.75,0.0,2.0669999999999997,,,,,,,,501.0
1691504253.331441,2.048,-89.94,-10.69,9.5,6.75,0.0,2.0669999999999997,,,,,,,,293.0
